dataset,positive_class,negative_class,seed,loss,best_epoch,best_val_loss,train_n_positive,train_n_negative,pos_weight,epochs_run,threshold,Precision_Bombus,Recall_Bombus,F1_Bombus,Precision_Apis,Recall_Apis,F1_Apis,F2_Apis,Macro_F1,Accuracy,Balanced_Accuracy,MCC,AUC,Average_Precision,Brier,ECE,Log_Loss,Prob_Mean_All,Prob_SD_All,Prob_Mean_Bombus,Prob_SD_Bombus,Prob_Mean_Apis,Prob_SD_Apis,Probability_Collapse,Single_Class_Prediction,TN,FP,FN,TP,N_Test,N_Test_Positive,N_Test_Negative,runtime_seconds
BeeSpotter,Apis,Bombus,307,Soft-F2,1,0.4318800169786961,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5083488694283859,0.21104411147078267,0.7917714295180096,0.7917715012776962,12.583805727340595,0.9999998807907104,2.467113290549605e-06,0.9999998807907104,1.963561089723953e-06,0.9999997615814209,3.814982392214006e-06,True,True,0,943,0,248,1191,248,943,3.081111192703247
BeeSpotter,Apis,Bombus,307,Weighted BCE,5,1.070918103773817,463,1759,3.799136069114471,10,0.49,0.8355387523629489,0.4687168610816543,0.6005434782608695,0.243202416918429,0.6491935483870968,0.35384615384615387,0.4866989117291415,0.47719481605351166,0.5062972292191436,0.5589552047343755,0.0963556096551494,0.5903388294051244,0.2841818837860637,0.25538522564470917,0.3000254599013116,0.7051938303614343,0.5071693658828735,0.11136888712644577,0.5000632405281067,0.10826811194419861,0.5341898202896118,0.11861928552389145,False,False,442,501,87,161,1191,248,943,4.466756582260132
BeeSpotter,Apis,Bombus,401,Soft-F2,1,0.4341257557594519,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5112736462217357,0.21201332327876962,0.7917715306056098,0.7917716204869858,12.598917207783302,1.0,1.0134569947695127e-06,1.0,1.1389453220544965e-06,1.0,7.569797233486497e-09,True,True,0,943,0,248,1191,248,943,3.2941792011260986
BeeSpotter,Apis,Bombus,401,Weighted BCE,4,1.0906540549916328,463,1759,3.799136069114471,9,0.36,0.8412698412698413,0.11240721102863202,0.19831618334892423,0.2140845070422535,0.9193548387096774,0.3472962680883473,0.5542051531356345,0.2728062257186358,0.2804366078925273,0.5158810248691547,0.041930508753417965,0.603295077480929,0.2829570989328938,0.24915347008339597,0.29172590925451286,0.6923438004017523,0.4996659755706787,0.10897886753082275,0.49175456166267395,0.1067914068698883,0.5297486186027527,0.11192908138036728,False,False,106,837,20,228,1191,248,943,4.4345176219940186
BeeSpotter,Apis,Bombus,509,Soft-F2,1,0.4317634954726953,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5035790031813362,0.20943100379322357,0.7917715167946375,0.7917715012776962,12.600919212860079,0.9999998807907104,1.6468169405925437e-06,0.9999999403953552,1.3552519249060424e-06,0.9999998807907104,2.45548631028214e-06,True,True,0,943,0,248,1191,248,943,3.110337495803833
BeeSpotter,Apis,Bombus,509,Weighted BCE,8,1.085611493467427,463,1759,3.799136069114471,13,0.47,0.7704918032786885,0.09968186638388123,0.17652582159624414,0.205799812909261,0.8870967741935484,0.3340926347760061,0.5337214944201844,0.2553092281861251,0.26364399664147775,0.4933893202887148,-0.017704718684784824,0.5743166968836589,0.28400831272062865,0.2617601236530441,0.31594105426450425,0.7174410503588091,0.524169385433197,0.058863550424575806,0.5201323628425598,0.05549907311797142,0.5395200252532959,0.06804677098989487,False,False,94,849,28,220,1191,248,943,6.166800260543823
BeeSpotter,Apis,Bombus,613,Soft-F2,1,0.4346538126039848,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5066341976533371,0.21045924994903367,0.7917714833641332,0.7917715012776962,12.599073628594802,0.9999998807907104,1.6889781591089559e-06,0.9999999403953552,1.4303732314147055e-06,0.9999998807907104,2.432839210086968e-06,True,True,0,943,0,248,1191,248,943,3.1129062175750732
BeeSpotter,Apis,Bombus,613,Weighted BCE,2,1.1035970934003376,463,1759,3.799136069114471,7,0.45,0.8457792207792207,0.5524920466595971,0.6683771648492624,0.26608695652173914,0.6169354838709677,0.3718104495747266,0.4881940012763242,0.5200938072119945,0.5659109991603695,0.5847137652652824,0.13767065834808795,0.6136900078678207,0.28209926628708193,0.22024310300741548,0.24280480508740263,0.6330368479202828,0.45079392194747925,0.04284244403243065,0.44744718074798584,0.04059042036533356,0.46351972222328186,0.04842919856309891,False,False,521,422,95,153,1191,248,943,3.490769386291504
BeeSpotter,Apis,Bombus,719,Soft-F2,1,0.4319339819091687,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.5170120240823727,0.21406821895040448,0.7917711988991731,0.791771024440538,12.557226671253462,0.9999994039535522,1.4089005162531976e-05,0.9999997615814209,3.198242666258011e-06,0.9999980926513672,3.0202460038708523e-05,True,True,0,943,0,248,1191,248,943,3.3438944816589355
BeeSpotter,Apis,Bombus,719,Weighted BCE,6,1.047959643302204,463,1759,3.799136069114471,11,0.54,0.8275401069518716,0.6564156945917285,0.7321111768184506,0.2686230248306998,0.4798387096774194,0.34442836468885674,0.4146341463414634,0.5382697707536537,0.6196473551637279,0.568127202134574,0.11446680843672472,0.59645349433859,0.29710940281233866,0.24872410203620843,0.2876286674681879,0.6907237918504177,0.4955418109893799,0.12390509247779846,0.48667141795158386,0.12160684168338776,0.5292708873748779,0.12673254311084747,False,False,619,324,129,119,1191,248,943,5.170041561126709
